FirstName|LastName|EmailTypeDesc|Email|AddressTypeDesc|Address1|Address2|City|State|Zip|PhoneTypeDesc|Phone|LeadSourceTitle
Skyler|Norris|Personal|skylerdnorris@gmail.com|Mailing|12351 Pink Dogwood Ln||Jacksonville|FL|32218|Cell|9045071080|Survey
Rita|Rizzo|Professional|mangelica@ewtn.com|Mailing|||Canton|OH|44705|Work|2052712900|Referral
Fulton|Sheen|Professional|fsheen@ewtn.com|PO Box|||El Paso|IL||||
Rhoda|Wise|Personal|rhoda.wise@yahoo.com|Mailing|2337 25th St. NE||Canton|OH|44705|Home|3304530322|Referral
Benedict|Groeschel|Personal|bgroeschel@gmail.com|PO Box|||Jersey City|NJ||||
Dorothy|Day|Professional|dday@catholicworker.org|Mailing|36 East First Street||New York|NY|10003|Work|2127779617|Social Media
Michelle|Duppong|Professional|mduppong@focus.org|Mailing|||Bismarck|ND|58501|||Event
Edward|Flanagan|Professional|edward.flanagan@boystown.org|Mailing|14100 Crawford St||Boys Town|NE|68010|Work|8779725605|
Elvira|Petrozzi|Personal|mother.elvira@cenacalo.org|PO Box|||Hanceville|AL|35077|||
Jason|Craig|Professional|jcraig@fraternus.net|Mailing|||Columbus|NC|28722|||SEO
